PERSON;ID;BESTLOC;GRAMS;portion;EUFDNAME
paula;166;5.872;25;1.468;SE
paula;166;41.17;25;10.2925;STARCH
paula;166;56.09;25;14.0225;STERT
paula;166;2.714;25;0.6785;SUCS
paula;166;3.838;25;0.9595;SUGAR
paula;166;0;25;0;SUGOH
paula;166;0.1907;25;0.047675;THIA
paula;166;143.2;25;35.8;TRP
paula;166;0.847;25;0.21175;VITA
paula;166;0;25;0;VITB12
paula;166;0.02;25;0.005;VITC
paula;166;0;25;0;VITD
paula;166;1.45;25;0.3625;VITE
paula;166;3.448;25;0.862;VITK
paula;166;0.18;25;0.045;VITPYRID
paula;166;25.18;25;6.295;WATER
paula;166;1.368;25;0.342;ZN
paula;172;0;15;0;ALC
paula;172;0.841;15;0.12615;ASH
paula;172;21.27;15;3.1905;CA
paula;172;74;15;11;CAROTENS
paula;172;1.45;15;0.2175;CARTB
paula;172;63.881;15;9.58215;CHOAVL
paula;172;65.553;15;9.83295;CHOCDF
paula;172;0.5;15;0.075;CHOLE
paula;172;1.53;15;0.2295;CR
paula;172;0.1137;15;0.017055;CU
paula;172;1753.19;15;262.9785;ENERC
paula;172;2560.269;15;384.04035;F16D0T
paula;172;5420.446;15;813.0669;F18D1T
paula;172;1876.329;15;281.44935;F18D2CN6
paula;172;449.629;15;67.44435;F18D3N3
paula;172;0;15;0;F20D4N6
paula;172;0;15;0;F20D5N3
paula;172;0;15;0;F22D6N3
paula;172;15.451;15;2.31765;FACIDCTG
paula;172;14.771;15;2.21565;FAFRE
paula;172;5.5711;15;0.835665;FAMCIS
paula;172;2.343;15;0.35145;FAPU
paula;172;0.4496;15;0.06744;FAPUN3
paula;172;1.885;15;0.28275;FAPUN6
paula;172;2.9635;15;0.444525;FAS18
paula;172;6.5568;15;0.98352;FASAT
paula;172;15.495;15;2.32425;FAT
paula;172;0.3006;15;0.04509;FATRN
paula;172;0.041;15;0.00615;FD
paula;172;0.95;15;0.1425;FE
paula;172;2.057;15;0.30855;FIBC
paula;172;0.98;15;0.147;FIBINS
paula;172;1.314;15;0.1971;FIBT
paula;172;5.07;15;0.7605;FOL
paula;172;4.09;15;0.6135;FRUS
paula;172;0;15;0;GALS
paula;172;4.515;15;0.67725;GLUS
paula;172;5.84;15;0.876;ID
paula;172;101.46;15;15.219;K
paula;172;0;15;0;LACS
paula;172;0;15;0;MALS
paula;172;14.955;15;2.24325;MG
paula;172;0.246;15;0.0369;MN
paula;172;0.0079;15;0.001185;MO
paula;172;0;15;0;MYRIC
paula;172;143.4;15;21.51;NA
paula;172;365.38;15;54.807;NACL
paula;172;0.338;15;0.0507;NIA
paula;172;1.038;15;0.1557;NIAEQ
paula;172;0.638;15;0.0957;NT
paula;172;0;15;0;OA
paula;172;38.1;15;5.715;P
paula;172;4.56;15;0.684;PROT
paula;172;0.34;15;0.051;PSACNCS
paula;172;0;15;0;QUERCE
paula;172;0;15;0;RETOL
paula;172;0.02;15;0.003;RIBF
paula;172;3.207;15;0.48105;SE
paula;172;26.13;15;3.9195;STARCH
paula;172;77.14;15;11.571;STERT
paula;172;28.232;15;4.2348;SUCS
paula;172;36.836;15;5.5254;SUGAR
paula;172;0;15;0;SUGOH
paula;172;0.024;15;0.0036;THIA
paula;172;48.8;15;7.32;TRP
paula;172;0.122;15;0.0183;VITA
paula;172;0;15;0;VITB12
paula;172;0;15;0;VITC
paula;172;0;15;0;VITD
paula;172;1.477;15;0.22155;VITE
paula;172;9.626;15;1.4439;VITK
paula;172;0.04;15;0.006;VITPYRID
paula;172;13.55;15;2.0325;WATER
paula;172;0.336;15;0.0504;ZN
paula;185;0;47,75;0;ALC
paula;185;0.685;47,75;0.32195;ASH
paula;185;56;47,75;26;CA
paula;185;2734.5;47,75;1285.215;CAROTENS
paula;185;983.5;47,75;462.245;CARTB
paula;185;1.035;47,75;0.48645;CHOAVL
paula;185;1.784;47,75;0.83848;CHOCDF
paula;185;0;47,75;0;CHOLE
paula;185;47.67;47,75;22.4049;ENERC
paula;185;11.05;47,75;5.1935;F16D0T
paula;185;1.208;47,75;0.56776;F18D1T
paula;185;19.54029;47,75;9.1839363;F18D2CN6
paula;185;38.96019;47,75;18.3112893;F18D3N3
paula;185;0;47,75;0;F20D4N6
paula;185;0;47,75;0;F20D5N3
paula;185;0;47,75;0;F22D6N3
paula;185;0.083;47,75;0.03901;FACIDCTG
paula;185;0.079;47,75;0.03713;FAFRE
paula;185;0.0044;47,75;0.002068;FAMCIS
paula;185;0.059;47,75;0.02773;FAPU
paula;185;0.039;47,75;0.01833;FAPUN3
paula;185;0.0197;47,75;0.009259;FAPUN6
paula;185;0.001;47,75;0.00047;FAS18
paula;185;0.0153;47,75;0.007191;FASAT
paula;185;0.121;47,75;0.05687;FAT
paula;185;0;47,75;0;FATRN
paula;185;0.7;47,75;0.329;FE
paula;185;1;47,75;0;FIBC
paula;185;0.8;47,75;0.376;FIBINS
paula;185;1.2;47,75;0.564;FIBT
paula;185;38.6;47,75;18.142;FOL
paula;185;0.374;47,75;0.17578;FRUS
paula;185;0.288;47,75;0.13536;GLUS
paula;185;1;47,75;0;ID
paula;185;360;47,75;169;K
paula;185;0;47,75;0;LACS
paula;185;0.05;47,75;0.0235;MALS
paula;185;21;47,75;9;MG
paula;185;23;47,75;10;NA
paula;185;58.6;47,75;27.542;NACL
paula;185;0.4;47,75;0.188;NIA
paula;185;0.4;47,75;0.188;NIAEQ
paula;185;0.15;47,75;0.0705;NT
paula;185;0.13;47,75;0.0611;OA
paula;185;40;47,75;18;P
paula;185;0.936;47,75;0.43992;PROT
paula;185;0.4;47,75;0.188;PSACNCS
paula;185;0;47,75;0;RETOL
paula;185;0.022;47,75;0.01034;RIBF
paula;185;0.2;47,75;0.094;SE
paula;185;0.273;47,75;0.12831;STARCH
paula;185;8.5;47,75;3.995;STERT
paula;185;0.05;47,75;0.0235;SUCS
paula;185;0.762;47,75;0.35814;SUGAR
paula;185;0;47,75;0;SUGOH
paula;185;0.03;47,75;0.0141;THIA
paula;185;81.63;47,75;38.3661;VITA
paula;185;0;47,75;0;VITB12
paula;185;2.69;47,75;1.2643;VITC
paula;185;0;47,75;0;VITD
paula;185;0.63;47,75;0.2961;VITE
paula;185;115;47,75;54;VITK
paula;185;0.1;47,75;0.047;VITPYRID
paula;185;96.474;47,75;45.34278;WATER
paula;185;0.5;47,75;0.235;ZN
paula;194;0;7;0;ALC
paula;194;2.123;7;0.14861;ASH
paula;194;339.74;7;23.7818;CA
paula;194;62.7;7;4.389;CAROTENS
paula;194;37.95;7;2.6565;CARTB
paula;194;39.282;7;2.74974;CHOAVL
paula;194;45.444;7;3.18108;CHOCDF
paula;194;4.7;7;0.329;CHOLE
paula;194;4.3;7;0.301;CR
paula;194;0.429;7;0.03003;CU
paula;194;2360.8;7;165.256;ENERC
paula;194;6203.271;7;434.22897;F16D0T
paula;194;17591.755;7;1231.42285;F18D1T
paula;194;2039.52;7;142.7664;F18D2CN6
paula;194;65.497;7;4.58479;F18D3N3
paula;194;0;7;0;F20D4N6
paula;194;0;7;0;F20D5N3
paula;194;0;7;0;F22D6N3
paula;194;35.684;7;2.49788;FACIDCTG
paula;194;34.114;7;2.38798;FAFRE
paula;194;17.816;7;1.24712;FAMCIS
paula;194;2.105;7;0.14735;FAPU
paula;194;0.0655;7;0.004585;FAPUN3
paula;194;2.039;7;0.14273;FAPUN6
paula;194;6.6247;7;0.463729;FAS18
paula;194;14.1586;7;0.991102;FASAT
paula;194;39.44;7;2.7608;FAT
paula;194;0.0346;7;0.002422;FATRN
paula;194;0.054;7;0.00378;FD
paula;194;2.368;7;0.16576;FE
paula;194;5.257;7;0.36799;FIBC
paula;194;2.24;7;0.1568;FIBINS
paula;194;2.62;7;0.1834;FIBT
paula;194;21.95;7;1.5365;FOL
paula;194;0.115;7;0.00805;FRUS
paula;194;0;7;0;GALS
paula;194;0.092;7;0.00644;GLUS
paula;194;31.18;7;2.1826;ID
paula;194;496;7;34;K
paula;194;7.7;7;0.539;LACS
paula;194;0;7;0;MALS
paula;194;82.31;7;5.7617;MG
paula;194;1.6791;7;0.117537;MN
paula;194;0.0131;7;0.000917;MO
paula;194;0;7;0;MYRIC
paula;194;77.23;7;5.4061;NA
paula;194;196.78;7;13.7746;NACL
paula;194;0.561;7;0.03927;NIA
paula;194;3.001;7;0.21007;NIAEQ
paula;194;1.247;7;0.08729;NT
paula;194;0.308;7;0.02156;OA
paula;194;302.3;7;21.161;P
paula;194;11.04;7;0.7728;PROT
paula;194;0.38;7;0.0266;PSACNCS
paula;194;3850;7;269;QUERCE
paula;194;77;7;5;RETOL
paula;194;0.407;7;0.02849;RIBF
paula;194;3.54;7;0.2478;SE
paula;194;0;7;0;STARCH
paula;194;91.5;7;6.405;STERT
paula;194;31.375;7;2.19625;SUCS
paula;194;39.282;7;2.74974;SUGAR
paula;194;0;7;0;SUGOH
paula;194;0.1574;7;0.011018;THIA
paula;194;146.1;7;10.227;TRP
paula;194;80.181;7;5.61267;VITA
paula;194;0;7;0;VITB12
paula;194;0;7;0;VITC
paula;194;0;7;0;VITD
paula;194;3.826;7;0.26782;VITE
paula;194;4.113;7;0.28791;VITK
paula;194;0.15;7;0.0105;VITPYRID
paula;194;1.95;7;0.1365;WATER
paula;194;1.644;7;0.11508;ZN
paula;197;0;6;0;ALC
paula;197;0.628;6;0.03768;ASH
